Word		Original_feature		Predicted_feature
کلاسیس		n		n
کے		psp		psp
اختتام		n		n
پر		psp		psp
امتحانات		n		n
منعقد		adj		adj
کئے		v		v
جائیں_گے		v		v
اور		avy		avy
پُرکشش		adj		n
انعامات		n		n
سے		psp		psp
نوازے		v		v
جائےگا		v		v
۔		punc		punc
مزید		adj		adj
تفصیلات		n		n
کے		psp		psp
لئے		psp		psp
9885530998		n		n
،		punc		punc
NULL		unk		unk
9704607604		n		n
پر		psp		psp
ربط		n		n
کریں		v		v
-		punc		punc
بودھن		n		n
ٹاؤن		n		n
صدر		n		n
ٹی		n		n
آر		n		n
ایس		n		n
جناب		avy		avy
عبدالرزاق		n		n
نے		psp		psp
انسانی		n		adj
حقوق		n		n
کمیشن		n		n
آندھراپردیش		n		n
کے		psp		psp
نام		n		n
تحریرکردہ		adj		adj
اپنے		pn		pn
مکتوب		n		n
مےں		psp		psp
انھوں		pn		pn
نے		psp		psp
حلقہ		n		n
اسمبلی		n		n
بودھن		n		n
مےں		psp		psp
ضامن		n		n
روزگار		n		n
اسکیم		n		n
کے		psp		psp
تحت		psp		psp
مزدوروں		n		n
کو		psp		psp
تقسیم		n		n
کے		psp		psp
لئے		psp		psp
مختص_کردہ		adj		adj
رقم		n		n
اےک		num		num
کروڑ		num		num
67		num		num
لاکھ		num		num
روپئے		n		n
مبینہ		adj		adj
طور		n		n
پر		psp		psp
تغلب		n		n
کرنے		v		v
کا		psp		psp
سرکاری		adj		adj
عہدہ_داروں		n		n
اور		avy		avy
قائدین		n		n
پر		psp		psp
الزام		n		n
عائد		adj		adj
کیا		v		v
۔		punc		punc
مسٹر		avy		avy
عبدالرزاق		n		n
نے		psp		psp
اپنے		pn		pn
مکتوب		n		n
کے		psp		psp
ساتھ		nst		nst
سوشیل		n		n
آڈٹ		n		n
کی		psp		psp
رپورٹ		n		n
منسلک		adj		n
کی		v		v
جس		pn		pn
مےں		psp		psp
بودھن		n		n
منڈل		n		n
کے		psp		psp
مواضعات		n		n
اچن		n		n
پلی		n		n
،		punc		punc
بلال		n		n
،		punc		punc
بھوانی		n		n
پیٹ		n		n
،		punc		punc
ایراج		n		n
پلی		n		n
،		punc		punc
کلورکی		n		n
،		punc		punc
کوپرگہ		n		n
،		punc		punc
NULL		unk		unk
لنگڑاپور		n		n
مےں		psp		psp
ضامن		n		n
روزگار		n		n
اسکیم		n		n
کے		psp		psp
تحت		psp		psp
جن		pn		pn
کاموں		n		n
اور		avy		avy
مزدوروں		n		n
کے		psp		psp
نام		n		n
رقم		n		n
اجراء		n		n
کی		v		v
گئی		v		v
ہے		v		v
تمام		avy		avy
بوگس		adj		n
ہونے		v		v
کا		psp		psp
آڈیٹر		n		n
نے		psp		psp
اپنی		pn		pn
رپورٹ		n		n
مےں		psp		psp
انکشاف		n		n
کیا		v		v
اور		avy		avy
آڈیٹرس		n		n
نے		psp		psp
مزدوروں		n		n
کے		psp		psp
بیانات		n		n
بھی		avy		avy
قلمبند		adj		adj
کئے		v		v
۔		punc		punc
مسٹر		avy		avy
عبدالرزاق		n		n
نے		psp		psp
انسانی		n		adj
حقوق		n		n
کمیشن		n		n
کو		psp		psp
بتایا		v		v
کہ		avy		avy
مزدوروں		n		n
اور		avy		avy
عوامی		adj		adj
کاموں		n		n
کے		psp		psp
نام		n		n
پر		psp		psp
حلقہ		n		n
اسمبلی		n		n
بودھن		n		n
مےں		psp		psp
اتنی		avy		pn
خطیر		adj		adj
رقم		n		n
کا		psp		psp
مبینہ		adj		adj
طور		n		n
پر		psp		psp
تغلب		n		n
کا		psp		psp
انکشاف		n		n
ہونے		v		v
کے		psp		psp
بعد		nst		nst
مقامی		adj		adj
رکن		n		n
اسمبلی		n		n
و		avy		avy
ریاستی		adj		adj
وزیر		n		n
مسٹر		avy		avy
پی		n		n
سدرشن		n		n
ریڈی		n		n
کے		psp		psp
کان		n		n
پر		psp		psp
جوں		n		pn
تک		avy		psp
نہیں		avy		avy
دوڑی		v		v
بلکہ		avy		avy
مسٹر		avy		avy
سدرشن		n		n
ریڈی		n		n
نے		psp		psp
ان		pn		pn
مشتبہ		adj		adj
قائدین		n		n
کو		psp		psp
نامزد		adj		adj
عہدے		n		n
فراہم		adj		adj
کرنے		v		v
حکومت		n		n
سے		psp		psp
سفارش		n		n
کی		v		v
۔		punc		punc
مسٹر		avy		avy
عبدالرزاق		n		n
نے		psp		psp
انسانی		n		adj
حقوق		n		n
کمیشن		n		n
سے		psp		psp
حلقہ		n		n
اسمبلی		n		n
بودھن		n		n
مےں		psp		psp
جاری		adj		adj
مبینہ		adj		adj
بدعنوانیوں		n		n
اور		avy		avy
مزدوروں		n		n
کی		psp		psp
حق_تلفی		n		n
کے		psp		psp
خلاف		psp		adj
مثبت		adj		adj
ردعمل		n		n
کی		psp		psp
اپیل		n		n
کی		v		v
۔		punc		punc
مسٹر		avy		avy
عبدالرزاق		n		n
نے		psp		psp
سوشیل		n		n
آڈٹ		n		n
کی		psp		psp
نقل		n		n
بودھن		n		n
پولیس		n		n
اسٹیشن		n		n
مےں		psp		psp
پیش		nst		nst
کرتے		v		v
ہوئے		v		v
انھوں		pn		pn
نے		psp		psp
معاشی		adj		adj
جرائم		n		n
مےں		psp		psp
شامل		adj		adj
عہدہ_داروں		n		n
اور		avy		avy
قائدین		n		n
کے		psp		psp
خلاف		psp		adj
مقدمہ		n		n
درج		adj		adj
کرنے		v		v
کی		psp		psp
خواہش		n		n
کی		v		v
۔		punc		punc
یہ		pn		pn
واضح		adj		adj
کرتے		v		v
ہوئے		v		v
کہ		avy		avy
صدر		n		n
بارک		n		n
اوباما		n		n
ہند		n		n
-		punc		punc
امریکہ		n		n
تعلقات		n		n
کو		psp		psp
ایشیا		n		n
مےں		psp		psp
امریکہ		n		n
کے		psp		psp
لئے		psp		psp
اہمیت		n		n
کا		psp		psp
حامل		n		adj
سمجھتے		v		v
ہےں		v		v
وائیٹ		n		n
ہاوز		n		n
نے		psp		psp
آج		n		n
کہا		v		v
کہ		avy		avy
امریکہ		n		n
ہندوستان		n		n
کے		psp		psp
ساتھ		nst		nst
اپنے		pn		pn
تعلقات		n		n
کو		psp		psp
مزید		adj		adj
گیرائی		n		n
عطا		n		n
کرنے		v		v
کے		psp		psp
تعلق		n		n
سے		psp		psp
پابند		n		adj
ہے		v		v
اور		avy		avy
وہ		pn		pn
ہندوستان		n		n
کے		psp		psp
ساتھ		nst		nst
اپنی		pn		pn
ترجیحات		n		n
جاری		adj		adj
رکھےگا		v		v
۔		punc		punc
وائیٹ		n		n
ہاوز		n		n
کے		psp		psp
پریس		n		n
سکریٹری		n		n
مسٹر		avy		avy
جے		n		n
کارنی		n		n
نے		psp		psp
پی		n		n
ٹی		n		n
آئی		n		n
سے		psp		psp
بات_چیت		n		n
کرتے		v		v
ہوئے		v		v
کہا		v		v
کہ		avy		avy
صدر		n		n
اوباما		n		n
ہندوستانی		adj		adj
عوام		n		n
کا		psp		psp
احترام		n		n
کرتے		v		v
ہےں		v		v
اور		avy		avy
وزیر		n		n
اعظم		n		n
منموہن		n		n
سنگھ		n		n
کے		psp		psp
ساتھ		nst		nst
قریبی		adj		adj
شراکت		n		n
رکھتے		v		v
ہےں		v		v
NULL		unk		unk
وہ		pn		pn
اس		pn		pn
تعلق		n		n
کو		psp		psp
ایشیا		n		n
مےں		psp		psp
امریکہ		n		n
کی		psp		psp
کوششوں		n		n
اور		avy		avy
21		num		num
ویں		avy		n
صدی		n		n
کے		psp		psp
وعدوں		n		n
کے		psp		psp
لئے		psp		psp
کافی		avy		adj
اہم		adj		adj
سمجھتے		v		v
ہیں		v		v
۔		punc		punc
مسٹر		avy		avy
کارنی		n		n
کا		psp		psp
بیان		n		n
اس		pn		pn
بات		n		n
کو		psp		psp
ظاہر		n		adj
کرتا		v		v
ہے		v		v
کہ		avy		avy
ہندوستان		n		n
کے		psp		psp
ساتھ		nst		nst
تعلقات		n		n
کو		psp		psp
مستحکم		n		adj
کرنے		v		v
مےں		psp		psp
اوباما		n		n
انتظامیہ		n		n
کے		psp		psp
عزائم		n		n
مےں		psp		psp
کسی		pn		pn
طرح		n		n
کی		psp		psp
تبدیلی		n		n
نہیں		avy		avy
آئی		v		v
ہے		v		v
۔		punc		punc
حالانکہ		adv		avy
ہندوستان		n		n
نے		psp		psp
دو		num		num
امریکی		adj		adj
کمپنیوں		n		n
بوئنگ		n		n
اور		avy		avy
لوک		n		n
ہیڈ		n		n
مارٹن		n		n
کو		psp		psp
126		num		num
لڑاکا		n		n
طیارے		n		n
حاصل		n		n
کرنے		v		v
کی		psp		psp
معاملت		n		n
سے		psp		psp
خارج		adj		adj
کر		v		v
دیا		v		v
ہے		v		v
۔		punc		punc
امریکی		adj		adj
محکمہ		n		n
دفاع		n		n
پنٹگان		n		n
اور		avy		avy
امریکی		adj		n
سفیر		n		n
برائے		psp		psp
ہند		n		n
مسٹر		avy		avy
ٹموتھی		n		n
ریومر		n		n
نے		psp		psp
ہندوستان		n		n
کے		psp		psp
اس		pn		pn
فیصلہ		n		n
پر		psp		psp
مایوسی		n		n
کا		psp		psp
اظہار		n		n
کیا		v		v
ہے		v		v
۔		punc		punc
مسٹر		avy		avy
کارنی		n		n
نے		psp		psp
کہا		v		v
کہ		avy		avy
مسٹر		avy		avy
ریومر		n		n
کی		psp		psp
دو		num		num
سالہ		adj		adj
معیاد		n		n
کے		psp		psp
دوران		nst		nst
اوباما		n		n
نے		psp		psp
ہندوستان		n		n
کے		psp		psp
ساتھ		nst		nst
تعلقات		n		n
کو		psp		psp
کافی		adj		adj
آگے		nst		nst
بڑھایا		v		v
ہے		v		v
اور		avy		avy
یہ		pn		pn
تعلقات		n		n
ہمیشہ		adv		adv
امریکہ		n		n
کی		psp		psp
ترجیح		n		n
رہے		v		v
ہیں		v		v
۔		punc		punc
امریکہ		n		n
کے		psp		psp
خیال		n		n
مےں		psp		psp
ہند		n		n
۔		punc		punc
امریکہ		n		n
تعلقات		n		n
21		num		num
ویں		avy		avy
صدی		n		n
مےں		psp		psp
کافی		adj		adj
اہمیت		n		n
کے		psp		psp
حامل		adj		adj
ہیں		v		v
۔		punc		punc
آئی		n		n
پی		n		n
ایل		n		n
کے		psp		psp
اےک		num		num
میچ		n		n
مےں		psp		psp
کولکتہ		n		n
نائیٹ		n		n
رائیڈرس		n		n
نے		psp		psp
دہلی		n		n
ڈیر		n		n
ڈیولس		n		n
کو		psp		psp
17		num		num
رنوں		n		n
سے		psp		psp
شکست		n		n
دے		v		v
دی		v		v
۔		punc		punc
کولکتہ		n		n
نے		psp		psp
پہلے		nst		num
بیٹنگ		n		n
کرتے		v		v
ہوئے		v		v
منوج		n		adj
تیواری		n		n
کے		psp		psp
60		num		num
ناٹ		adj		n
آوٹ		adj		n
رنوں		n		n
کی		psp		psp
بدولت		adv		psp
148		num		num
رن		n		n
بنائے		v		v
تھے		v		v
۔		punc		punc
جواب		n		n
مےں		psp		psp
دہلی		n		n
ڈیر		n		n
ڈیولس		n		n
نے		psp		psp
131		num		num
رن		n		n
نو		num		num
وکٹس		n		n
کے		psp		psp
نقصان		n		n
سے		psp		psp
بنائے		v		v
۔		punc		punc
اسے		pn		pn
17		num		num
رنوں		n		n
سے		psp		psp
شکست		n		n
ہو		v		v
گئی		v		v
۔		punc		punc
اقبال		n		n
عبداللہ		n		n
نے		psp		psp
تین		num		num
وکٹس		n		n
لئے		v		v
۔		punc		punc
جبکہ		avy		avy
ملک		n		n
مےں		psp		psp
کئی		avy		avy
ریاستوں		n		n
مےں		psp		psp
کانگریس		n		n
نے		psp		psp
اقتدار		n		n
سنبھالا		v		v
اور		avy		avy
حکمرانی		n		n
کی		v		psp
تاہم		avy		avy
ریاست		n		n
آندھرا		n		n
پردیش		n		n
مےں		psp		psp
وائی		n		n
ایس		n		n
آر		n		n
نے		psp		psp
نئی		adj		adj
نئی		adj		adj
اسکیمات		n		n
کو		psp		psp
روشناس		adj		adj
کرواتے		v		v
ہوئے		v		v
اس		pn		pn
پر		psp		psp
سختی		n		n
سے		psp		psp
عمل_آوری		n		n
کی		v		v
,		punc		punc
NULL		unk		unk
ریاست		n		n
کے		psp		psp
کسی		pn		pn
بھی		avy		avy
طبقہ		n		n
کو		psp		psp
انہوں		pn		pn
نے		psp		psp
مایوس		adj		n
نہیں		avy		avy
کیا		v		v
-		punc		punc
NULL		unk		unk
عام		adj		adj
خیال		n		n
ہے		v		v
کہ		avy		avy
کڑپہ		n		n
کے		psp		psp
سیاسی		adj		adj
نتائج		n		n
ریاست		n		n
کی		psp		psp
سیاست		n		n
مےں		psp		psp
اےک		num		num
نیا		adj		adj
موڑ		n		n
ثابت		adj		adj
ہو		v		v
سکتے		v		v
ہیں		v		v
۔		punc		punc
آثار		n		n
و		avy		avy
قرائن		n		n
سے		psp		psp
یہ		pn		pn
بات		n		n
واضح		adj		adj
نظر		n		n
آ		v		v
رہی		v		v
ہے		v		v
کہ		avy		avy
عوام		n		n
کی		psp		psp
دلچسپی		n		n
اور		avy		avy
ہمدردی		n		n
وائی		n		n
ایس		n		n
جگن		n		n
موہن		n		n
ریڈی		n		n
کی		psp		psp
جانب		nst		nst
ہے		v		v
،		punc		punc
NULL		unk		unk
حقیقت		n		n
بھی		avy		avy
ہے		v		v
کہ		avy		avy
2004		n		n
۶		n		n
کے		psp		psp
انتخابات		n		n
ہوں		v		v
یا		avy		avy
2009		n		n
۶		n		n
کے		psp		psp
انتخابات		n		n
NULL		unk		unk
ان		pn		pn
دونوں		n		num
مےں		psp		psp
کانگریس		n		n
کو		psp		psp
کامیابی		n		n
کی		psp		psp
سمت		n		nst
کانگریس		n		n
پالیسی		n		n
نہیں		avy		avy
NULL		unk		unk
بلکہ		avy		avy
آنجہانی		adj		adj
وائی		n		n
ایس		n		n
راج		n		n
شیکھر		n		n
ریڈی		n		n
کی		psp		psp
کامیاب		adj		adj
حکمت		n		n
عملی		n		n
نے		psp		psp
کامیابی		n		n
کی		psp		psp
سمت		n		nst
دکھائی		v		v
۔		punc		punc
NULL		unk		unk
ظاہر		adj		adj
ہے		v		v
کہ		avy		avy
ان		pn		pn
دونوں		num		num
کامیابیوں		n		n
کو		psp		psp
کانگریس		n		n
کی		psp		v
NULL		unk		unk
نہیں		avy		avy
NULL		unk		unk
NULL		unk		unk
وائی		n		n
ایس		n		n
آر		n		n
کی		psp		psp
کامیابی		n		n
تصور		n		n
کیا		v		v
جا		v		v
سکتا		v		v
ہے		v		v
۔		punc		punc
جبکہ		avy		avy
عوامی		adj		adj
کارکردگی		n		n
کے		psp		psp
جو		pn		pn
نقوش		n		n
آنجہانی		adj		adj
وائی		n		n
ایس		n		n
راج		n		n
شیکھر		n		n
ریڈی		n		n
نے		psp		psp
چھوڑے		v		v
ہےں		v		v
اس		pn		pn
کو		psp		psp
ریاست		n		n
کے		psp		psp
عوام		n		n
بالخصوص		adv		adv
غریب		adj		adj
عوام		n		n
کبھی		pn		avy
فراموش		adj		adj
نہیں		avy		avy
کر		v		v
سکتے		v		v
۔		punc		punc
جبکہ		avy		avy
ملک		n		n
مےں		psp		psp
کئی		avy		avy
ریاستوں		n		n
مےں		psp		psp
کانگریس		n		n
نے		psp		psp
اقتدار		n		n
سنبھالا		v		v
اور		avy		avy
حکمرانی		n		n
کی		v		psp
تاہم		avy		avy
ریاست		n		n
آندھرا		n		n
پردیش		n		n
مےں		psp		psp
وائی		n		n
ایس		n		n
آر		n		n
نے		psp		psp
نئی		adj		adj
نئی		adj		adj
اسکیمات		n		n
کو		psp		psp
روشناس		adj		adj
کرواتے		v		v
ہوئے		v		v
اس		pn		pn
پر		psp		psp
سختی		n		n
سے		psp		psp
عمل_آوری		n		n
کی		v		v
,		punc		punc
NULL		unk		unk
ریاست		n		n
کے		psp		psp
کسی		pn		pn
بھی		avy		avy
طبقہ		n		n
کو		psp		psp
انہوں		pn		pn
نے		psp		psp
مایوس		adj		n
نہیں		avy		avy
کیا		v		v
-		punc		punc
حتیٰ		avy		n
کہ		avy		avy
مذہبی		adj		adj
رہنماؤں		n		n
نے		psp		psp
بھی		avy		avy
جو		pn		pn
تجاویز		n		n
پیش		nst		nst
کیں		v		v
ان		pn		pn
کو		psp		psp
من		n		n
و		avy		avy
عن		n		n
انہوں		pn		pn
نے		psp		psp
منظوری		n		n
دیتے		v		v
ہوئے		v		v
اےک		num		num
تاریخ		n		adj
رقم		n		n
کی		v		v
کیونکہ		avy		avy
دوسری		adj		num
ریاستوں		n		n
مےں		psp		psp
گیاس		n		n
سلنڈر		n		n
پر		psp		psp
پچاس		num		n
روپئے		n		n
کی		psp		psp
سبسیڈی		n		n
نہیں		avy		avy
ہے		v		v
,		punc		punc
ملک		n		n
کی		psp		psp
ہر		avy		adj
ریاست		n		n
میں		psp		psp
108		num		num
سرویس		n		n
کی		psp		psp
سہولت		n		n
نہیں		avy		avy
ہے		v		v
،		punc		punc
ہر		avy		adj
ریاست		n		n
مےں		psp		psp
نسل		n		n
نو		adj		n
کو		psp		psp
زیور		n		adj
تعلیم		n		n
سے		psp		psp
آراستہ		adj		adj
کرنے		v		v
کے		psp		psp
لئے		psp		psp
اسکالر		n		n
شپس		n		n
فیس		n		n
ریمبرسمنٹ		n		n
کی		psp		psp
سہولت		n		n
بھی		avy		avy
نہیں		avy		avy
ہے		v		v
اور		avy		avy
ہر		avy		adj
ریاست		n		n
مےں		psp		psp
دو		num		num
روپئے		n		n
کیلو		n		n
چاول		n		n
اسکیم		n		n
بھی		avy		avy
نہیں		avy		avy
ہے		v		v
۔		punc		punc
یہ		pn		pn
تمام		avy		avy
اسکیمات		n		n
صرف		avy		avy
اور		avy		avy
صرف		avy		avy
وائی		n		n
ایس		n		n
آر		n		n
کی		psp		psp
دین		n		n
ہےں		v		v
اور		avy		avy
انہی		pn		pn
اسکیمات		n		n
کے		psp		psp
تناظر		n		n
مےں		psp		psp
کڑپہ		n		n
علاقہ		n		n
کے		psp		psp
عوام		n		n
ماں		n		n
اور		avy		avy
بیٹے		n		n
کو		psp		psp
انتخابات		n		n
مےں		psp		psp
کامیابی		n		n
سے		psp		psp
ہمکنار		adj		adj
کروا		v		v
سکتے		v		v
ہیں		v		v
۔		punc		punc
کانگریس		n		n
پارٹی		n		n
،		punc		punc
آنجہانی		adj		adj
وائی		n		n
ایس		n		n
آر		n		n
کی		psp		psp
خدمات		n		n
اور		avy		avy
ان		pn		pn
کی		psp		psp
حکمت		n		n
عملی		n		n
سے		psp		psp
ریاست		n		n
ہی		avy		avy
نہیں		avy		avy
NULL		unk		unk
NULL		unk		unk
مرکز		n		n
کی		psp		psp
کرسی		n		pn
سنبھالے		v		v
ہوئے		v		v
ہے		v		v
اور		avy		avy
آج		n		n
آنجہانی		adj		adj
وائی		n		n
ایس		n		n
آر		n		n
کی		psp		psp
اہلیہ		n		n
اور		avy		avy
ان		pn		pn
کے		psp		psp
فرزند		n		n
کو		psp		psp
سیاسی		adj		adj
نقشہ		n		n
سے		psp		psp
ہٹانے		v		v
کے		psp		psp
لئے		psp		psp
وہ		pn		pn
اپنی		pn		pn
ہر		avy		adj
طاقت		n		n
کا		psp		psp
استعمال		n		n
کر		v		v
رہی		v		v
ہے		v		v
۔		punc		punc
ریاست		n		n
کے		psp		psp
تمام		avy		adj
وزرا		n		n
کو		psp		psp
کڑپہ		n		n
مےں		psp		psp
متحرک		adj		adj
کر		v		v
دیا		v		v
گیا		v		v
ہے		v		v
،		punc		punc
NULL		unk		unk
سرکاری		adj		adj
مشنری		n		n
کا		psp		psp
استعمال		n		n
NULL		unk		unk
اس		pn		pn
کے		psp		psp
باوجود		psp		psp
خاندان		n		n
کا		psp		psp
شیرازہ		n		n
بکھیرتے		v		v
ہوئے		v		v
بھاوج		n		n
کے		psp		psp
خلاف		adj		adj
دیور		n		n
کو		psp		psp
انتخابی		adj		adj
میدان		n		n
مےں		psp		psp
اُتارا		v		n
گیا		v		v
ہے		v		v
لیکن		avy		avy
عوام		n		n
کی		psp		psp
انقلابی		adj		adj
ذہنیت		n		n
کے		psp		psp
آگے		nst		nst
کچھ		pn		avy
نہیں		avy		avy
چلےگا		v		v
۔		punc		punc
یہ		pn		pn
انتخابات		n		n
ساری		adj		adj
ریاست		n		n
کی		psp		psp
سیاسی		adj		adj
صورتحال		n		n
تبدیل		n		n
کر		v		v
سکتے		v		v
ہیں		v		v
۔		punc		punc
آج		n		n
کے		psp		psp
سیاسی		adj		adj
حالات		n		n
کا		psp		psp
بغور		adv		adv
جائزہ		n		n
لیا		v		v
جائے		v		v
تو		avy		avy
یہ		pn		pn
بات		n		n
واضح		adj		adj
دکھائی		v		v
دیتی		v		v
ہے		v		v
کہ		avy		avy
سیاسی		adj		adj
جماعتوں		n		n
کو		psp		psp
عوامی		adj		adj
مسائل		n		n
نہیں		avy		avy
NULL		unk		unk
بلکہ		avy		avy
اپنی		pn		pn
اپنی		pn		pn
کرسی		n		n
کی		psp		psp
فکر		n		n
زیادہ		adj		adj
ہے		v		v
۔		punc		punc
یہاں		pn		pn
قدم		n		adj
قدم		n		n
پر		psp		psp
سازشیں		n		n
ہو		v		v
رہی		v		v
ہےں		v		v
اور		avy		avy
کوئی		pn		pn
کسی		pn		pn
کو		psp		psp
اٹھتا		v		v
ہوا		v		v
نہیں		avy		avy
دیکھ		v		v
سکتے		v		v
۔		punc		punc
ہر		avy		adj
کوئی		pn		pn
دوسرے		pn		pn
کے		psp		psp
کندھوں		n		n
کو		psp		psp
اپنی		pn		pn
بلندی		n		n
کے		psp		psp
لئے		psp		psp
استعمال		n		n
کر		v		v
رہا		v		v
ہے		v		v
,		punc		punc
NULL		unk		unk
ترقیاتی		adj		adj
کاموں		n		n
پر		psp		psp
توجہ		n		n
کس		pn		pn
کو		psp		psp
ہے		v		v
شائد		adv		avy
وائی		n		n
ایس		n		n
جگن		n		n
موہن		n		n
ریڈی		n		n
کی		psp		psp
شخصیت		n		n
مےں		psp		psp
اس		pn		pn
علاقہ		n		n
کے		psp		psp
عوام		n		n
کو		psp		psp
آنجہانی		adj		adj
وائی		n		n
ایس		n		n
راج		n		n
شیکھر		n		n
ریڈی		n		n
کا		psp		psp
عکس		n		n
دکھائی		v		v
دے		v		v
رہا		v		v
ہے		v		v
-		punc		punc
یہی		pn		pn
سبب		n		n
ہے		v		v
کہ		avy		avy
کم		avy		avy
عمر		n		n
سیاستداں		n		n
کی		psp		psp
مقبولیت		n		n
آج		n		n
ریاست		n		n
کی		psp		psp
سیاست		n		n
مےں		psp		psp
بلندی		n		n
کو		psp		psp
پہنچ		v		v
گئی		v		v
ہے		v		v
۔		punc		punc
عوام		n		n
کو		psp		psp
رائےدہی		n		n
اور		avy		avy
نتائج		n		n
کا		psp		psp
انتظار		n		n
ہے		v		v
تاہم		avy		avy
یہ		pn		pn
انتخابات		n		n
ریاست		n		n
کی		psp		psp
سیاست		n		n
مےں		psp		psp
اےک		num		num
سیاسی		adj		adj
طوفان		n		n
بھی		avy		avy
برپا		adj		adj
کر		v		v
سکتے		v		v
ہیں		v		v
۔		punc		punc
منڈل		n		n
ناگی		n		n
ریڈی		n		n
پیٹ		n		n
کے		psp		psp
بلارم		n		n
موضع		n		n
مےں		psp		psp
گرام		n		n
پنچایت		n		n
عمارت		n		n
کے		psp		psp
تعمیری		adj		adj
کام		n		n
کے		psp		psp
معائنہ		n		n
کے		psp		psp
لئے		psp		psp
پنچایت		n		n
راج		n		n
اے		n		n
ای		n		pn
مسٹر		avy		avy
رام		n		n
انجینلو		n		n
نے		psp		psp
دورہ		n		n
کرتے		v		v
ہوئے		v		v
تعمیری		adj		adj
کام		n		n
کا		psp		psp
معائنہ		n		n
کیا		v		v
۔		punc		punc
ان		pn		pn
دنوں		n		n
موضع		n		n
بلارم		n		n
میں		psp		psp
10		num		num
لاکھ		num		num
روپئے		n		n
لاگت		n		n
سے		psp		psp
پنچایت		n		n
بھون		n		n
کی		psp		psp
تعمیر		n		n
عمل		n		n
مےں		psp		psp
لائی		v		v
جا		v		v
رہی		v		v
ہے		v		v
۔		punc		punc
اس		pn		pn
موقع		n		n
پر		psp		psp
انہوں		pn		pn
نے		psp		psp
متعلقہ		adj		adj
گتہ_دار		n		n
سے		psp		psp
کہا		v		v
کہ		avy		avy
ساتھ		n		nst
ساتھ		n		nst
کام		n		n
کی		psp		psp
کیورنگ		n		n
کرواتے		v		v
رہیں		v		v
اور		avy		avy
انتباہ		n		n
دیا		v		v
کہ		avy		avy
اگر		avy		avy
تعمیری		adj		adj
کام		n		n
مےں		psp		psp
کوئی		pn		pn
نقص		n		n
رہا		v		v
تو		avy		avy
بل		n		n
منظور		adj		adj
نہیں		avy		avy
کئے		v		v
جائیں_گے		v		v
۔		punc		punc
انہوں		pn		pn
نے		psp		psp
مشورہ		n		n
دیا		v		v
کہ		avy		avy
کام		n		n
مےں		psp		psp
تیزی		n		n
پیدا		adj		adj
کرتے		v		v
ہوئے		v		v
اسے		pn		pn
جلد		adv		adv
مکمل		adj		adj
کیا		v		v
جائے		v		v
۔		punc		punc
گمبھی		n		n
راؤ		n		n
پیٹ		n		n
مستقر		n		n
مےں		psp		psp
آج		n		n
محنت_کش		adj		adj
و		avy		avy
غیرمنظم		adj		adj
شعبہ		n		n
کے		psp		psp
مزدوروں		n		n
کے		psp		psp
علاوہ		psp		psp
فورتھ		num		n
کلاس		n		n
ایمپلائز		n		adj
ورکرس		n		n
نے		psp		psp
مئی		n		n
ڈے		n		n
کے		psp		psp
موقع		n		n
پر		psp		psp
مارچ		n		n
کرتے		v		v
ہوئے		v		v
مختلف		adj		adj
تنظیموں		n		n
کے		psp		psp
نمائندوں		n		n
نے		psp		psp
پرچم_کشائی		n		n
کی		psp		psp
رسم		n		n
انجام		n		n
دی		v		v
۔		punc		punc
تھابی		n		adj
میستری		n		n
سنگم		n		n
کی		psp		psp
جانب		nst		nst
سے		psp		psp
صدر		n		n
اوڈیا		n		n
،		punc		punc
ممالی		n		n
سنگم		n		n
کی		psp		psp
جانب		nst		nst
سے		psp		psp
مالیا		n		v
،		punc		punc
NULL		unk		unk
فورتھ		num		n
کلاس		n		n
ایمپلائز		n		n
ورکرس		n		n
شاخ		n		n
سی		n		n
آئی		n		n
ٹی		n		n
یو		n		n
کی		psp		psp
جانب		nst		nst
سے		psp		psp
صدر		n		n
اسوسی		n		n
ایشن		n		n
جناب		avy		avy
محمد		n		n
فہیم		n		n
الدین		n		n
نواب		n		n
نے		psp		psp
پرچم_کشائی		n		n
کی		psp		psp
رسم		n		n
انجام		n		n
دی		v		v
۔		punc		punc
اس		pn		pn
موقع		n		n
پر		psp		psp
گاندھی		n		n
چوراہے		n		n
پر		psp		psp
سرخ		adj		adj
رنگ		n		n
کی		psp		psp
جھنڈیاں		n		n
مختلف		adj		adj
تنظیموں		n		n
کی		psp		psp
جانب		nst		nst
سے		psp		psp
لگائی		v		v
گئی		v		v
تھیں		v		v
۔		punc		punc
آندھرا		n		n
پردیش		n		n
محکمہ		n		n
تعمیر		n		n
امکنہ		n		adj
ہاوزنگ		n		n
ضلع		n		n
میدک		n		n
کے		psp		psp
اے		n		n
ایز		n		n
کے		psp		psp
علاوہ		psp		psp
منڈل		n		n
انچارج		n		n
کی		psp		psp
یونین		n		n
کے		psp		psp
انتخابات		n		n
عمل		n		n
میں		psp		psp
آئے		v		v
جس		pn		pn
مےں		psp		psp
صدر		n		n
کی		psp		psp
حیثیت		psp		n
سے		psp		psp
متفقہ		adj		adj
طور		n		n
پر		psp		psp
اسسٹنٹ		n		n
انجینئر		n		n
اے		n		n
مہندر		n		n
سدی		n		n
پیٹ		n		n
،		punc		punc
صدر		n		n
محمد		n		n
صمدانی		n		n
سنگاریڈی		n		n
اور		avy		avy
ورکنگ		n		n
صدر		n		n
ملیشم		n		n
کلہر		n		n
